wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?,note,removed EN
wn:07049634n,bn:00005638n,n,arietta,a short aria,YES,,
wn:07049634n,bn:00005638n,n,short_aria,a short aria,YES,,
wn:01501505a,bn:00097492a,a,ariose,having a melody (as distinguished from recitative),YES,,
wn:01501505a,bn:00097492a,a,songlike,having a melody (as distinguished from recitative),YES,,
wn:07087508n,bn:00005646n,n,arioso,(music) a short recitative that is melodic but is not an aria,YES,,
wn:06869610n,bn:00005858n,n,arpeggio,a chord whose notes are played in rapid succession rather than simultaneously,YES,,
wn:00939628n,bn:00005866n,n,arrangement,the act of arranging and adapting a piece of music,YES,,
wn:00939628n,bn:00005866n,n,arranging,the act of arranging and adapting a piece of music,YES,,
wn:00939628n,bn:00005866n,n,transcription,the act of arranging and adapting a piece of music,YES,,
wn:09809925n,bn:00001269n,n,arranger,a musician who adapts a composition for particular voices or instruments or for another style of performance,YES,,
wn:09809925n,bn:00001269n,n,adapter,a musician who adapts a composition for particular voices or instruments or for another style of performance,YES,,
wn:09809925n,bn:00001269n,n,transcriber,a musician who adapts a composition for particular voices or instruments or for another style of performance,YES,,
wn:02647236a,bn:00097701a,a,atonalistic,of or relating to atonalism,YES,,
wn:06864014n,bn:00006943n,n,atonality,the absence of a key; alternative to the diatonic system,YES,,
wn:06864014n,bn:00006943n,n,atonalism,the absence of a key; alternative to the diatonic system,YES,,
wn:06278136n,bn:00007101n,n,audio,the audible part of a transmitted signal,YES,,
wn:06278136n,bn:00007101n,n,sound,the audible part of a transmitted signal,YES,,
wn:02757462n,bn:00007108n,n,audio_system,a system of electronic equipment for recording or reproducing sound,YES,,
wn:02757462n,bn:00007108n,n,sound_system,a system of electronic equipment for recording or reproducing sound,YES,,
wn:02757810n,bn:00007114n,n,audiotape,a tape recording of sound,YES,,
wn:00794614n,bn:00007121n,n,audition,a test of the suitability of a performer,YES,,
wn:00794614n,bn:00007121n,n,tryout,a test of the suitability of a performer,YES,,
wn:05711503n,bn:00007133n,n,auditory_perception,the perception of sound as a meaningful phenomenon,YES,,
wn:05711503n,bn:00007133n,n,sound_perception,the perception of sound as a meaningful phenomenon,YES,,
wn:08465558n,bn:00007432n,n,avant-garde,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts),YES,,
wn:08465558n,bn:00007432n,n,vanguard,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts),YES,,
wn:08465558n,bn:00007432n,n,van,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts),YES,,
wn:08465558n,bn:00007432n,n,new_wave,any creative group active in the innovation and application of new concepts and techniques in a given field (especially in the arts),YES,,
wn:07086861n,bn:00007760n,n,backbeat,a loud steady beat,YES,,
wn:07042498n,bn:00007935n,n,bagatelle,a light piece of music for piano,YES,,
wn:02775483n,bn:00007953n,n,bagpipe,a tubular wind instrument; the player blows air into a bag and squeezes it out through the drone,YES,,
wn:02776978n,bn:00008042n,n,balalaika,a stringed instrument that has a triangular body and three strings,YES,,
wn:07049713n,bn:00008153n,n,ballad,a narrative song with a recurrent refrain,YES,,
wn:07049713n,bn:00008153n,n,lay,a narrative song with a recurrent refrain,YES,,
wn:06378427n,bn:00008156n,n,ballade,a poem consisting of 3 stanzas and an envoy,YES,,
wn:07054336n,bn:00008166n,n,ballet,music written for a ballet,YES,,
wn:08249038n,bn:00008280n,n,band,instrumentalists not including string players,YES,,
wn:09837201n,bn:00008316n,n,bandleader,the leader of a dance band,YES,,
wn:09837360n,bn:00008317n,n,bandmaster,the conductor of a band,YES,,
wn:02786736n,bn:00008319n,n,bandoneon,a type of concertina popular in South America,YES,,
wn:09837459n,bn:00008320n,n,bandsman,a player in a band (especially a military band),YES,,
wn:07376257n,bn:00008250n,n,bang,a sudden very loud noise,YES,,
wn:07376257n,bn:00008250n,n,clap,a sudden very loud noise,YES,,
wn:07376257n,bn:00008250n,n,eruption,a sudden very loud noise,YES,,
wn:07376257n,bn:00008250n,n,blast,a sudden very loud noise,YES,,
