wn_synset,bn:id,pos,lemmata EN,definition,lemmata IT,is it related to music?
,bn:03719597n,,"punk_rock_in_california, california_punk_rock, cali_punk, san_francisco_hardcore, californian_hardcore, la_punk_band, east_bay_punk, punk_in_california, californian_punk, punk_rock_scene_in_california, california_punk_band, california_punk, california's_punk_rock_scene, california_punk_scene, california's_punk_rock_culture, punk_rock_culture_in_california","Since the mid 1970s, California has had thriving regional punk rock movements.","punk_rock_in_california, nardcore, california_punk_rock, hardcore_californiano, punk_in_california, punk_californiano, scena_punk_rock_in_california, cultura_punk_rock_in_california, scena_punk_californiana",YES
,bn:03597327n,,"hardcore_punk, hxc, alternative_hardcore, hard_core_punk, hc_punk, hardcore, list_of_hardcore_genres, list_of_hardcore_punk_bands, hardcore_rock, hard-core_punk, extreme_punk, punk/hc, hardcore_punk_rock, heavy_punk, hardcore_punk_albums, hardcore_rock_music, hc_punk_rock, blackened_hardcore, heavy_punk_rock, hardcore_punk_music, list_of_musicians_of_hardcore_punk, speed_music, extreme_punk_rock, hardcore-punk, hardxcore, electronically_influenced_hardcore, nwobhc, hardcore_punk_rock_music, punkcore, hardcore_bands, harsh_punk, hard_punk, hard_core_punk_rock, hardcore_punk_bands, hardcore_punk_subculture, hc_music, new_wave_of_british_hardcore, hardcore_band",Hardcore punk is a punk rock music genre and subculture that originated in the late 1970s.,"punk_hardcore, hardcore_punk, hc_punk, punk_hc, lista_dei_generi_hardcore, lista_delle_band_hardcore_punk, hardcore_rock, hardcore_punk_rock, album_hardcore_punk, musica_hardcore_rock, heavy_punk_rock, musica_hardcore_punk, lista_di_musicisti_hardcore_punk, hardcore_influenzato_elettronicamente",YES
,bn:03363847n,,greek_punk,"The Greek punk scene was small but powerful in the Greek capital, Athens, in the 1980s.",punk_greco,YES
,bn:03373165n,,"protopunk, proto-punk, proto_punk, proto_punk_rock, protopunk_music, prepunk, protopunk_rock, pre-punk_rock, prepunk_rock, '60s_punk, proto-punk_rock, pre-punk",Proto-punk is the rock music played by garage bands from the 1960s to mid-1970s that presaged the punk rock movement.,"proto-punk, proto_punk, protopunk, musica_protopunk",YES
,bn:03546214n,,"post-bop, post_bop, post-bebop, postbop",Post-bop is a genre of small-combo jazz that evolved in the early to mid-1960s.,"post-bop, post_bop",YES
,bn:03534190n,,"russian_pop, popular_music_in_russia","Russian pop music is Russian language pop music produced either in Russia, CIS countries, Baltic states and other foreign countries in which the songs are performed primarily in Russian language, languages of the countries of the CIS, and in the other languages of the world.","pop_russo, musica_popolare_in_russia",YES
,bn:03456310n,,"french_pop, french_pop_music",French pop music is pop music sung in the French language.,"pop_francese, musica_pop_francese",YES
,bn:03675644n,,"arabic_pop, arabic_pop_music, arab_pop, arab_pop_music",Arabic pop music or Arab pop music is a subgenre of pop music and Arabic music.,"pop_arabo, musica_pop_araba",YES
,bn:03602431n,,"political_hip_hop, political_rap, conscious_rap, political_hip-hop, conscious_hip_hop, intelligent_rap_music, marxist_hip_hop, political_hiphop, conscious_hip-hop, post-hip_hop, rap_politique, conscious_rap_music",Political hip hop is a subgenre of hip hop music that was developed in the 1980s as a way of turning hip hop into a call for political and/or social action and a form of social activism.,"political_hip_hop, political_rap, hip_hop_consapevole, hip_hop_politico, hip_hop_marxista, musica_rap_consapevole",YES
,bn:03508115n,,"rescue_opera, rescue_operas",Rescue opera was a genre of opera in the late 18th and early 19th centuries in France and Germany.,pièce_à_sauvetage,YES
,bn:03516425n,,"permutation, musical_order, krebsgang, order","In music, a permutation of a set is any ordering of the elements of that set.","permutazione, ordine_musicale",YES
,bn:16047300n,,punk_pathetique,Punk pathetique is a subgenre of British punk rock that involved humour and working-class cultural themes.,pathetique_punk,YES
