wn_synset,bn:id,pos,lemmata EN,definition,is it related to music?
,bn:01044768n,n,"ascii_tab, .tab, .txt, .btab, ascii_tablature","ASCII tab is a text file format used for writing guitar, bass guitar and drum tabulatures that uses plain ASCII numbers, letters and symbols.",YES
,bn:01045230n,n,"australian_hardcore, list_of_australian_hardcore_punk_groups, list_of_australian_hardcore_punk_and_metalcore_groups, australian_hardcore_punk","Australian hardcore punk bands tend to have local fan bases, although a number have toured Australia and internationally.",CHECK
,bn:01048546n,n,french_classical_music,"French classical music began with the sacred music of the Roman Catholic Church, with written records predating the reign of Charlemagne.",CHECK
,bn:01050693n,n,uk_hardcore,Genre of music,CHECK
,bn:01050867n,n,"organ_repertoire, organ_literature, organ_music",The organ repertoire is considered to be the largest and oldest repertory of all musical instruments.,CHECK
,bn:01052975n,n,lu,"Lu is a Tibetan style of folk music of a cappella songs, which are distinctively high in pitch with glottal vibrations.",CHECK
,bn:01054193n,n,"oramics, oramex_machine",Oramics is a drawn sound technique designed in 1957 by musician Daphne Oram.,YES
,bn:01061849n,n,"double_clarinet, zummara","The term double clarinet refers to any of several woodwind instruments consisting of two parallel pipes made of cane, bird bone, or metal, played simultaneously, with a single reed for each.",YES
,bn:01063270n,n,dene_music,"The Dene and their direct language relations live in the Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, as well as some parts of California, and through to the Apache and Navajo lands in the South Central United States.",CHECK
,bn:01063904n,n,"gnawa_music, gnawa_musician, gnawa_fusions",Gnawa music is a body of Moroccan and sub-Saharan African Islamic religious songs and rhythms.,CHECK
,bn:01063911n,n,"bay_area_thrash_metal, bay_area_thrash, bay_area_thrash_scene",Bay Area thrash metal referred to a steady following of heavy metal bands in the 1980s who formed and gained international status in the San Francisco Bay Area in California.,CHECK
,bn:01064298n,n,concerto_for_solo_piano,"While a concerto is generally a piece for an instrument or instruments with orchestral accompaniment, some works for piano alone have been written with the seemingly contradictory designation concerto for solo piano.",YES
,bn:01066198n,n,"psychobilly, punkabilly, horrorbilly",Psychobilly is a rock music fusion genre that mixes elements of rockabilly and punk rock.,CHECK
,bn:01066288n,n,"cowpunk, list_of_cowpunk_bands, cow-punk, country_pop_punk, country-punk, country_punk, punk_country, cow_punk, country_punk_rock",Cowpunk is a subgenre of punk rock that began in the United Kingdom in the late 1970s and Southern California in the early 1980s.,CHECK
,bn:01066526n,n,"false_relation, cross-relation, non-harmonic_relation, cross_relation","A false relation is the name of a type of dissonance that sometimes occurs in polyphonic music, most commonly in vocal music of the Renaissance.",YES
,bn:01069524n,n,"guitar_picking, picking_technique, double_picking, plectrum_technique, chickin_pickin'",Guitar picking is a group of hand and finger techniques a guitarist uses to set guitar strings in motion to produce audible notes.,YES
,bn:01070119n,n,boogie_rock,Boogie rock is a style of blues rock music that developed in the late 1960s.,CHECK
,bn:01071907n,n,"live_instrumentation, live_instruments","In music, live instrumentation is the use of acoustic and electronic musical instruments in live music and recording rather than DJing, sampling, and other recording techniques.",YES
,bn:01072408n,n,post-industrial_music,Music genre,CHECK
